Source_Object_Type,Source_Object,Azure_PostgreSQL_Object_Type,Azure_PostgreSQL_Object,Status,Action_Required,Error_Message
FUNCTION,CONTOSO.FN_CATEGORY_PATH,FUNCTION,contoso.fn_category_path(),Converted,yes,
FUNCTION,CONTOSO.FN_CONVERT_AMOUNT,FUNCTION,contoso.fn_convert_amount(),Converted,yes,
FUNCTION,CONTOSO.FN_EFFECTIVE_PRICE,FUNCTION,contoso.fn_effective_price(),Converted,yes,
FUNCTION,CONTOSO.FN_FISCAL_PERIOD,FUNCTION,contoso.fn_fiscal_period(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_031,FUNCTION,contoso.fn_gen_chk_impure_031(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_032,FUNCTION,contoso.fn_gen_chk_impure_032(),Not-Converted,yes,"Review and correct the generated code. Best-effort Azure PostgreSQL code was generated, but it is not included in the deployment script and its behavior is unverified. Compare it with the source, correct it, and test it before deploying separately. Reference: CVT-366"
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_033,FUNCTION,contoso.fn_gen_chk_impure_033(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_034,FUNCTION,contoso.fn_gen_chk_impure_034(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_035,FUNCTION,contoso.fn_gen_chk_impure_035(),Not-Converted,yes,"Review and correct the generated code. Best-effort Azure PostgreSQL code was generated, but it is not included in the deployment script and its behavior is unverified. Compare it with the source, correct it, and test it before deploying separately. Reference: CVT-366"
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_036,FUNCTION,contoso.fn_gen_chk_impure_036(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_037,FUNCTION,contoso.fn_gen_chk_impure_037(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_038,FUNCTION,contoso.fn_gen_chk_impure_038(),Not-Converted,yes,"Review and correct the generated code. Best-effort Azure PostgreSQL code was generated, but it is not included in the deployment script and its behavior is unverified. Compare it with the source, correct it, and test it before deploying separately. Reference: CVT-366"
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_039,FUNCTION,contoso.fn_gen_chk_impure_039(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_CHK_IMPURE_040,FUNCTION,contoso.fn_gen_chk_impure_040(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_001_GB,FUNCTION,contoso.fn_gen_price_001_gb(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_002_IE,FUNCTION,contoso.fn_gen_price_002_ie(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_003_FR,FUNCTION,contoso.fn_gen_price_003_fr(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_004_DE,FUNCTION,contoso.fn_gen_price_004_de(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_005_ES,FUNCTION,contoso.fn_gen_price_005_es(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_006_IT,FUNCTION,contoso.fn_gen_price_006_it(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_007_PT,FUNCTION,contoso.fn_gen_price_007_pt(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_008_NL,FUNCTION,contoso.fn_gen_price_008_nl(),Converted,yes,
FUNCTION,CONTOSO.FN_GEN_PRICE_009_BE,FUNCTION,contoso.fn_gen_price_009_be(),Converted,no,
FUNCTION,CONTOSO.FN_GEN_PRICE_010_LU,FUNCTION,contoso.fn_gen_price_010_lu(),Converted,no,
